通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
392	393	1	50870277	BAR	トールバー	〒542-0083 大阪府 大阪市中央区 東心斎橋1-15-27白水社ビル1階	
1046	1049	1	22697017	スナック	エバーフリー愛	〒532-0011 大阪府 大阪市淀川区 西中島3丁目13番5号ｺｱ新大阪ﾚｼﾞｬｰﾋﾞﾙ2階A号室	
1633	1636	1	77686571	スナック	ニューシーマ	〒573-1106 大阪府 枚方市 町楠葉1丁目1番7号102号	
2237	2241	1	77205772	イタリア料理	うまい魚とイタリアンyu-ma	〒541-0041 大阪府 大阪市中央区 北浜1-1-29ケイアンドエフ北浜ビルB1	
2311	2315	1	32136499	中華料理	中華料理999	〒578-0977 大阪府 東大阪市 鴻池徳庵町1-6ヒグチビル1階	
3443	3448	1	93117973	スナック	Poppin' Time	〒534-0023 大阪府 大阪市都島区 都島南通2-4-13-3A	
3499	3504	1	35468485	BAR	simple	〒542-0083 大阪府 大阪市中央区 東心斎橋2-7-22 シルキータワー402	
3586	3591	1	14609660	居酒屋	馬肉 古閑	〒547-0024 大阪府 大阪市平野区 瓜破1丁目5番9号 南より一件目	
3598	3603	1	39113438	居酒屋	食へ集う　千す	〒546-0043 大阪府 大阪市東住吉区 駒川4-1-6	
3599	3604	1	82860241	居酒屋	旬鮮居酒屋　異彩	〒541-0047 大阪府 大阪市中央区 淡路町2-1-13　弘栄ビルディング2F	
3612	3617	1	56760654	焼肉	焼肉「藤山」	〒532-0024 大阪府 大阪市淀川区 十三本町１丁目２４－２５	
3625	3630	1	60791762	スナック	すなっくＴiara	〒579-8051 大阪府 東大阪市 瓢箪山町3番１５号レジャービル一冨士２Ｆ	
3627	3632	1	85718227	スナック	トモ	〒530-0002 大阪府 大阪市北区 曽根崎新地1-1-34新孝ビル3階	
3635	3641	1	33357557	居酒屋	居酒屋はな	〒557-0004 大阪府 大阪市西成区萩之茶屋１丁目２番９号	
3657	3663	1	95807628	ラーメン	麺　紡木	〒530-0024 大阪府 大阪市北区 山崎町1-5アークナルドビルB１階	
3910	3917	1	95568064	カラオケ	カラオケ喫茶　ピース	〒596-0002 大阪府 岸和田市 吉井町3-20-9	
4794	4801	1	14940192	カフェ・喫茶店	星野デザートアート　天王寺店	〒545-0001 大阪府 大阪市阿倍野区天王寺町北３丁目２番２９号	
5014	5021	1	36868665	スナック	Low	〒590-0142 大阪府 堺市南区 檜尾3140-1 進化第11ビル　1F	
5058	5065	1	76253501	スナック	実生MiO	〒551-0012 大阪府 大阪市大正区平尾５丁目１８番９号	
5340	5347	1	61840136	居酒屋	豚農家直営　肉バル　BooBooキッチン長居店	〒558-0004 大阪府 大阪市住吉区 長居東4-1-12 パークサイド南栄ビル106	
