通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
40	40	1	85485256	BAR	スナフキン	〒564-0051 大阪府 吹田市 豊津町９－１６第一ロンヂェビル１F3号	
42	42	1	34891579	カフェ・喫茶店	カフェ・ド・シアター	〒542-0074 大阪府 大阪市中央区 千日前2-11-2　3F	
52	52	1	74855626	スナック	月花美人	〒594-1101 大阪府 和泉市 室堂町726-16 進化ビル２０１	
57	57	1	89026909	居酒屋	第二道場	〒534-0023 大阪府 大阪市都島区 都島南通2-4-18	
62	62	1	27560143	居酒屋	皆集合	〒532-0002 大阪府 大阪市淀川区 東三国5丁目7-9さつきマンション107	
66	66	1	47875914	カフェ・喫茶店	Re-Life ON THE TABLE	〒530-0011 大阪府 大阪市北区 大深町4番20号	
89	89	1	26279307	串かつ屋	串活店　おぐら	〒567-0803 大阪府 茨木市 中総持寺町6-15	
104	104	1	90577878	居酒屋	居酒屋風素人料理三太	〒561-0874 大阪府 豊中市 長興寺南4-2-1	
114	114	1	31314439	居酒屋	和食バルふるぼ	〒599-8273 大阪府 堺市中区 深井清水町4015	
129	129	1	95813918	居酒屋	のまのま	〒592-8334 大阪府 堺市西区 浜寺石津町中4丁4-7	
154	154	1	16962656	アジア料理	カンペチャーノ	〒534-0021 大阪府 大阪市都島区 都島本通3-22-7	
182	182	1	56483313	居酒屋	居酒屋JUNE	〒557-0004 大阪府 大阪市西成区 萩之茶屋3-3-16 サンライズ　103	
185	185	1	70870974	居酒屋	島人居酒屋かりゆし	〒573-0071 大阪府 枚方市 茄子作２丁目12番10号	
191	191	1	95186290	居酒屋	りとりいと	〒550-0027 大阪府 大阪市西区 九条1-5-7	
203	203	1	34163456	居酒屋	立ち呑みまさ　鴫野店	〒536-0014 大阪府 大阪市城東区 鴫野西5-15-14	
221	222	1	15614134	BAR	BAR M	〒581-0003 大阪府 八尾市 本町7-2-20	
227	228	1	24375676	居酒屋	虎屋	〒590-0077 大阪府 堺市堺区 中瓦町2-3-5	
230	231	1	43500107	ラーメン	どうとんぼり神座　道頓堀店1号店	〒542-0071 大阪府 大阪市中央区 道頓堀1丁目7番25号	
233	234	1	12993395	BAR	Bar COARU	〒530-0057 大阪府 大阪市北区 曽根崎2-1-6太洋ビル3階	
241	242	1	34864013	居酒屋	居酒屋こづち	〒533-0013 大阪府 大阪市東淀川区 豊里７丁目１３番８号ＴＹコーポ１階	
310	311	1	98054374	中華料理	中華料理とんとん	〒550-0002 大阪府 大阪市西区江戸堀１丁目２１番５号	
345	346	1	80563775	BAR	What's new	〒563-0032 大阪府 池田市 石橋2-1-5ヴィラ・ヴァンクレール２階	
350	351	1	53469397	居酒屋	やきとり居酒屋 ふく家	〒578-0935 大阪府 東大阪市 若江東町2-6-29	
356	357	1	39068696	カフェ・喫茶店	cafe pesce gatto	〒595-0804 大阪府 泉北郡忠岡町 馬瀬3-9-2	
364	365	1	15796606	その他	餃子のぱくぱく	〒531-0071 大阪府 大阪市北区中津１丁目１３番１０号	
459	460	1	19596674	和食	和	〒578-0905 大阪府 東大阪市 川田１丁目８－２７	
481	482	1	73422969	中華料理	ヨシ善	〒571-0066 大阪府 門真市幸福町 22ー71F	
509	510	1	41214755	BAR	an	〒563-0032 大阪府 池田市 石橋1-14-3 CoCo石橋101	
546	547	1	30892827	イタリア料理	スパゲティハウス淀屋橋	〒541-0046 大阪府 大阪市中央区 平野町２丁目５番１４号	
550	551	1	16283535	居酒屋	山力	〒581-0084 大阪府 八尾市植松町 3-6-9	
569	570	1	35862265	焼肉	集龍軒	〒567-0821 大阪府 茨木市 末広町2-24ヴァリエ91の2階	
677	678	1	39463706	居酒屋	みつばち	〒532-0002 大阪府 大阪市淀川区 東三国５丁目７ー９さつきマンション１０８	
696	697	1	82128516	居酒屋	串八丁	〒592-0014 大阪府 高石市 綾園1-7-16	
713	714	1	31908646	焼き鳥屋	つくね屋	〒591-8023 大阪府 堺市北区 中百舌鳥町6-867	
791	793	1	31299528	居酒屋	幸酔	〒542-0064 大阪府 大阪市中央区 上汐2-1-27但馬ビル1階	
851	854	1	21539886	BAR	Arde Un	〒542-0083 大阪府 大阪市中央区 東心斎橋1-13-12天正堂ビル２階	
855	858	1	82187660	居酒屋	鐵	〒591-8037 大阪府 堺市北区 百舌鳥赤畑町4丁２６１	
923	926	1	21291742	焼肉	石仏笑福園	〒586-0069 大阪府 河内長野市 石仏645-1仲渡ビル1階	
954	957	1	99135387	居酒屋	飛車角	〒564-0063 大阪府 吹田市江坂町２丁目８－１５　　池上第３ビル　１Ｆ	
964	967	1	99363309	和食	得得　あびこ苅田店	〒558-0011 大阪府 大阪市住吉区 苅田７丁目12-19	
985	988	1	91574419	寿司屋	すし処だいみょう南船場店	〒542-0081 大阪府 大阪市中央区 南船場3-3-25　ドエル心斎橋	
995	998	1	17415002	居酒屋	一品料理　茶々	〒573-0024 大阪府 枚方市 田宮本町１－６	
1020	1023	1	32032161	おでん屋	正心亭	〒561-0881 大阪府 豊中市 中桜塚1-8-4	
1058	1061	1	74676290	居酒屋	立呑み金田酒店	〒581-0003 大阪府 八尾市 本町7-11-36	
1127	1130	1	67705758	和食	キッチンＭＵＭ	〒535-0012 大阪府 大阪市旭区 千林1-5-6	
1131	1134	1	43018417	ラーメン	照輝	〒567-0888 大阪府 茨木市 駅前2丁目5-24	
1143	1146	1	52156275	ラウンジ	飲食店　ゆきうさぎ	〒541-0045 大阪府 大坂市中央区道修町 4丁目5番16号	
1147	1150	1	62977034	居酒屋	肉料理ふくちゃん	〒546-0011 大阪府 大阪市 東住吉区針中野３－１０－２５	
1155	1158	1	47976110	居酒屋	九州熱中屋西中島LIVE	〒532-0011 大阪府 大阪市淀川区 西中島2-15-13-1F	
1161	1164	1	32486203	寿司屋	すし処坊主	〒533-0005 大阪府 大阪市東淀川区 瑞光1-11-29-2F	
1163	1166	1	21056710	そば	玄そば	〒537-0025 大阪府 大阪市東成区 中道1-1-38	
1191	1194	1	24153265	スナック	ラウンジスマイル	〒532-0011 大阪府 大阪市淀川区 西中島４－７－３深井レインボービル２階	
